Time (s),Temperature (ºC),Power (W)
0.085708001,19.732055,1.566905e-05
0.171416,19.741023,1.5668755e-05
0.257124,19.748455,1.5668473e-05
0.342832,19.754641,1.5668089e-05
0.42854,19.761451,1.5667851e-05
0.514248,19.767347,1.566754e-05
0.599956,19.773121,1.5667416e-05
0.685664,19.778781,1.5667063e-05
0.771372,19.784234,1.5666891e-05
0.85708,19.789562,1.5666646e-05
0.942788,19.79487,1.5666447e-05
1.028496,19.800143,1.5666201e-05
1.114204,19.805384,1.5666004e-05
1.199912,19.810444,1.5665732e-05
1.28562,19.815441,1.5665453e-05
1.371328,19.820526,1.5665296e-05
1.457036,19.825312,1.566513e-05
1.5427441,19.830198,1.5664905e-05
1.6284521,19.835195,1.566473e-05
1.7141601,19.840082,1.5664457e-05
1.7998681,19.844638,1.5664297e-05
1.8855761,19.849354,1.5664094e-05
1.9712841,19.853743,1.5663928e-05
2.0569921,19.8588,1.5663649e-05
2.1427001,19.863044,1.5663589e-05
2.2284081,19.867904,1.5663208e-05
2.3141161,19.872395,1.5663019e-05
2.3998241,19.876504,1.5662953e-05
2.4855321,19.881041,1.5662734e-05
2.5712401,19.885271,1.5662609e-05
2.6569481,19.89006,1.5662346e-05
2.7426561,19.894046,1.5662235e-05
2.8283641,19.898497,1.5662149e-05
2.9140721,19.902628,1.5661801e-05
2.9997801,19.906681,1.5661636e-05
3.0854881,19.910882,1.5661504e-05
3.1711961,19.915204,1.5661326e-05
3.2569041,19.919214,1.5661179e-05
3.3426121,19.923362,1.5661006e-05
3.4283201,19.926978,1.5660848e-05
3.5140281,19.931296,1.5660621e-05
3.5997361,19.935071,1.5660558e-05
3.6854441,19.939146,1.5660355e-05
3.7711521,19.942827,1.5660112e-05
3.8568601,19.94653,1.5659966e-05
3.9425681,19.95085,1.5659808e-05
4.0282761,19.954292,1.5659676e-05
4.1139841,19.958011,1.5659583e-05
4.1996921,19.961884,1.5659382e-05
4.2854001,19.965449,1.5659303e-05
4.3711081,19.969063,1.5659027e-05
4.4568162,19.972672,1.5658944e-05
4.5425242,19.976045,1.5658767e-05
4.6282322,19.979741,1.5658633e-05
4.7139402,19.983356,1.5658447e-05
4.7996482,19.986607,1.5658306e-05
4.8853562,19.990406,1.5658239e-05
