Time (s),Temperature (ºC),Power (W)
0.020406701,5.9281423,1.1116702e-06
0.040813301,5.9303706,1.1116344e-06
0.061220001,5.932261,1.1115969e-06
0.081626701,5.9339507,1.1115599e-06
0.1020333,5.9355274,1.1115167e-06
0.12244,5.9370775,1.111478e-06
0.1428467,5.9385525,1.1114347e-06
0.1632533,5.9400462,1.1114087e-06
0.18366,5.9415182,1.1113757e-06
0.2040667,5.9428997,1.1113411e-06
0.2244733,5.9441991,1.1113061e-06
0.24488,5.9456585,1.1112676e-06
0.2652867,5.9470276,1.1112358e-06
0.2856933,5.9483815,1.1112075e-06
0.3061,5.9496636,1.1111695e-06
0.3265067,5.9510422,1.1111461e-06
0.3469133,5.9523581,1.1111035e-06
0.36732,5.9537041,1.1110775e-06
0.3877267,5.9549474,1.1110397e-06
0.4081333,5.956256,1.1110126e-06
0.42854,5.9575351,1.1109797e-06
0.4489467,5.9587618,1.1109533e-06
0.4693533,5.9600296,1.1109183e-06
0.48976,5.9612469,1.1108913e-06
0.5101667,5.9625441,1.1108537e-06
0.5305734,5.9637152,1.1108254e-06
0.55098,5.9649452,1.1108046e-06
0.5713867,5.9661547,1.110775e-06
0.5917934,5.9672567,1.1107472e-06
0.6122,5.9684164,1.110707e-06
0.6326067,5.9695556,1.1106827e-06
0.6530134,5.9708428,1.1106596e-06
0.67342,5.9719827,1.1106317e-06
0.6938267,5.9731229,1.1106097e-06
0.7142334,5.9742174,1.110582e-06
0.73464,5.9753517,1.1105491e-06
0.7550467,5.9764357,1.1105194e-06
0.7754534,5.9775256,1.1105012e-06
0.79586,5.9786453,1.1104725e-06
0.8162667,5.9797849,1.11044e-06
0.8366734,5.9808895,1.1104221e-06
0.85708,5.9819661,1.1103899e-06
0.8774867,5.9830354,1.1103614e-06
0.8978934,5.9840542,1.1103351e-06
0.9183,5.9851187,1.1103142e-06
0.9387067,5.9861265,1.1102937e-06
0.9591134,5.9872395,1.1102619e-06
0.97952,5.9881778,1.1102358e-06
0.9999267,5.9891539,1.1102159e-06
1.0203334,5.990122,1.1101825e-06
1.04074,5.9911428,1.1101631e-06
1.0611467,5.9921147,1.1101429e-06
1.0815534,5.9931903,1.1101128e-06
1.10196,5.9940925,1.1100917e-06
1.1223667,5.9950048,1.1100659e-06
1.1427734,5.9960358,1.1100451e-06
1.16318,5.9969854,1.1100254e-06
1.1835867,5.9979454,1.1100028e-06
1.2039934,5.9988468,1.1099848e-06
1.2244,5.9998002,1.1099583e-06
1.2448067,6.0007279,1.1099319e-06
