Time (s),Temperature (ºC),Power (W)
0.0163253,4.839025,6.7786631e-07
0.0326507,4.8409092,6.7785652e-07
0.048976,4.8424354,6.778178e-07
0.0653013,4.8438816,6.7779699e-07
0.0816267,4.845211,6.7777143e-07
0.097952,4.8464884,6.7773915e-07
0.1142773,4.8477761,6.7771657e-07
0.1306027,4.8489487,6.7769163e-07
0.146928,4.8501998,6.7766378e-07
0.1632533,4.8515151,6.7763624e-07
0.1795787,4.8526169,6.7761389e-07
0.195904,4.8537878,6.7759278e-07
0.2122293,4.8549456,6.775686e-07
0.2285547,4.8560853,6.7754366e-07
0.24488,4.8572521,6.7751741e-07
0.2612053,4.8584103,6.7749629e-07
0.2775307,4.8595248,6.774689e-07
0.293856,4.8606876,6.774513e-07
0.3101813,4.8617263,6.7743646e-07
0.3265067,4.8628285,6.7740172e-07
0.342832,4.8639094,6.7737908e-07
0.3591573,4.864985,6.773653e-07
0.3754827,4.865987,6.7733883e-07
0.391808,4.8671152,6.7731626e-07
0.4081333,4.8681405,6.7730203e-07
0.4244587,4.8691357,6.7727938e-07
0.440784,4.8702045,6.7726056e-07
0.4571094,4.8711723,6.7723531e-07
0.4734347,4.8721696,6.7722047e-07
0.48976,4.8732181,6.7719812e-07
0.5060854,4.8742079,6.7716798e-07
0.5224107,4.8751693,6.7715742e-07
0.538736,4.8761416,6.7714457e-07
0.5550614,4.8771009,6.7711343e-07
0.5713867,4.8780154,6.7709889e-07
0.587712,4.8789688,6.7708129e-07
0.6040374,4.8799105,6.7706231e-07
0.6203627,4.8808604,6.7704043e-07
0.636688,4.8817591,6.7701365e-07
0.6530134,4.8826227,6.770083e-07
0.6693387,4.8835463,6.7698703e-07
0.685664,4.8844417,6.7696484e-07
0.7019894,4.8853685,6.769529e-07
0.7183147,4.8862412,6.7693133e-07
0.73464,4.8870437,6.7690875e-07
0.7509654,4.8879344,6.7690171e-07
0.7672907,4.8888999,6.7688702e-07
0.783616,4.8896908,6.7686346e-07
0.7999414,4.8904464,6.7685535e-07
0.8162667,4.8912768,6.7683729e-07
0.832592,4.8921819,6.7682214e-07
0.8489174,4.8929528,6.7679506e-07
0.8652427,4.8937751,6.7678649e-07
0.881568,4.8946207,6.7676766e-07
0.8978934,4.8953898,6.7674716e-07
0.9142187,4.8961602,6.7672803e-07
0.930544,4.896967,6.7671854e-07
0.9468694,4.8977037,6.7671189e-07
0.9631947,4.8984796,6.7669276e-07
0.97952,4.8992779,6.7667394e-07
0.9958454,4.9000054,6.7666139e-07
1.0121707,4.9007672,6.7664532e-07
1.028496,4.9015136,6.7662788e-07
1.0448214,4.9022122,6.7661517e-07
1.0611467,4.9029409,6.7660492e-07
1.077472,4.9036625,6.765786e-07
1.0937974,4.904441,6.7657569e-07
1.1101227,4.9051112,6.7656131e-07
1.126448,4.9057987,6.7654341e-07
1.1427734,4.906539,6.7653178e-07
1.1590987,4.9069117,6.7651418e-07
1.175424,4.9078407,6.7650155e-07
1.1917494,4.9085652,6.7648518e-07
1.2080747,4.9092314,6.7646774e-07
1.2244,4.9099104,6.7646437e-07
1.2407254,4.9105236,6.7644769e-07
1.2570507,4.9112426,6.7643667e-07
