Time (s),Temperature (ºC),Power (W)
0.1632533,43.841911,7.0129034e-05
0.3265067,43.862148,7.0128466e-05
0.48976,43.87856,7.0128033e-05
0.6530134,43.894028,7.012752e-05
0.8162667,43.908664,7.0127026e-05
0.97952,43.921791,7.012658e-05
1.1427734,43.935345,7.012614e-05
1.3060267,43.948839,7.0125735e-05
1.46928,43.961049,7.0125282e-05
1.6325334,43.973567,7.0124944e-05
1.7957867,43.986029,7.0124646e-05
1.9590401,43.998,7.012418e-05
2.1222934,44.010383,7.0123713e-05
2.2855467,44.021852,7.0123659e-05
2.4488001,44.033701,7.0123165e-05
2.6120534,44.045318,7.012305e-05
2.7753068,44.057134,7.0122523e-05
2.9385601,44.068528,7.012209e-05
3.1018134,44.079775,7.0121881e-05
3.2650668,44.090551,7.0121394e-05
3.4283201,44.101679,7.0121083e-05
3.5915735,44.113163,7.0120596e-05
3.7548268,44.123567,7.0120326e-05
3.9180801,44.134379,7.0120069e-05
4.0813335,44.145082,7.0119819e-05
4.2445868,44.155398,7.0119508e-05
4.4078402,44.166137,7.0118967e-05
4.5710935,44.176471,7.011875e-05
4.7343468,44.186532,7.0118554e-05
4.8976002,44.196921,7.0118101e-05
5.0608535,44.206636,7.0117919e-05
5.2241068,44.217004,7.0117601e-05
5.3873602,44.226908,7.0117121e-05
5.5506135,44.23617,7.0116749e-05
5.7138669,44.246516,7.0116533e-05
5.8771202,44.256311,7.0116316e-05
6.0403735,44.266114,7.0116012e-05
6.2036269,44.275361,7.0115911e-05
6.3668802,44.284386,7.0115552e-05
6.5301336,44.29385,7.0115201e-05
6.6933869,44.303053,7.0115032e-05
6.8566402,44.312159,7.0114673e-05
7.0198936,44.32135,7.0114538e-05
7.1831469,44.330184,7.0114018e-05
7.3464002,44.33904,7.0113977e-05
7.5096536,44.348316,7.0113619e-05
7.6729069,44.356688,7.0113558e-05
7.8361603,44.365817,7.0113166e-05
7.9994136,44.374156,7.0112936e-05
8.1626669,44.382969,7.0112659e-05
8.3259203,44.39164,7.0112287e-05
8.4891736,44.399506,7.0111901e-05
8.652427,44.407658,7.0111509e-05
8.8156803,44.416102,7.0111496e-05
8.9789336,44.424442,7.0111205e-05
9.142187,44.431927,7.0110968e-05
9.3054403,44.440426,7.0110874e-05
9.4686937,44.44833,7.0110603e-05
9.631947,44.456208,7.0110482e-05
9.7952003,44.464088,7.0110346e-05
9.9584537,44.471574,7.0109954e-05
10.121707,44.479401,7.0109731e-05
10.28496,44.487177,7.0109528e-05
10.448214,44.494694,7.010919e-05
10.611467,44.501566,7.0109048e-05
10.77472,44.509648,7.0108845e-05
10.937974,44.516528,7.010871e-05
11.101227,44.524411,7.0108433e-05
11.26448,44.531175,7.0108203e-05
11.427734,44.538613,7.0107993e-05
11.590987,44.545607,7.0107554e-05
11.75424,44.552797,7.0107554e-05
11.917494,44.559578,7.0107351e-05
12.080747,44.566529,7.0107033e-05
12.244,44.57326,7.0106709e-05
12.407254,44.580055,7.0106709e-05
12.570507,44.587056,7.0106438e-05
12.73376,44.593549,7.0106053e-05
12.897014,44.6005,7.0105938e-05
13.060267,44.607151,7.010581e-05
13.223521,44.613373,7.0105647e-05
13.386774,44.619631,7.0105499e-05
13.550027,44.625913,7.0105424e-05
13.713281,44.632678,7.0105188e-05
13.876534,44.638605,7.0104802e-05
14.039787,44.644873,7.0104802e-05
14.203041,44.65072,7.0104579e-05
14.366294,44.657219,7.0104417e-05
14.529547,44.663438,7.0104315e-05
14.692801,44.669264,7.0103889e-05
14.856054,44.674951,7.010395e-05
15.019307,44.681242,7.0103734e-05
15.182561,44.686966,7.0103666e-05
15.345814,44.69288,7.0103484e-05
15.509067,44.698489,7.0103315e-05
15.672321,44.704596,7.0103207e-05
15.835574,44.709998,7.0102869e-05
15.998827,44.715256,7.0102632e-05
16.162081,44.721035,7.0102639e-05
16.325334,44.726786,7.0102436e-05
16.488587,44.732256,7.0102226e-05
16.651841,44.737469,7.0101956e-05
16.815094,44.742946,7.0101922e-05
16.978347,44.748317,7.0101604e-05
17.141601,44.753992,7.0101624e-05
17.304854,44.758711,7.0101334e-05
17.468107,44.764115,7.0101131e-05
17.631361,44.768914,7.0100908e-05
17.794614,44.774388,7.0100915e-05
17.957867,44.77935,7.0100827e-05
18.121121,44.784367,7.0100624e-05
18.284374,44.789537,7.0100387e-05
18.447627,44.794106,7.0100387e-05
18.610881,44.799009,7.0100137e-05
18.774134,44.803898,7.009988e-05
18.937387,44.808392,7.0099995e-05
19.100641,44.813541,7.0099677e-05
19.263894,44.818267,7.0099657e-05
19.427147,44.823066,7.0099542e-05
19.590401,44.827416,7.0099339e-05
19.753654,44.832066,7.0099353e-05
19.916907,44.83676,7.0099238e-05
20.080161,44.841377,7.0099035e-05
20.243414,44.846249,7.0098934e-05
20.406667,44.850002,7.0098785e-05
20.569921,44.854709,7.0098697e-05
20.733174,44.858917,7.0098609e-05
20.896427,44.86344,7.0098494e-05
21.059681,44.855046,0.0
21.222934,44.840125,0.0
21.386187,44.828023,0.0
21.549441,44.817255,0.0
21.712694,44.807659,0.0
21.875947,44.797896,0.0
22.039201,44.789156,0.0
22.202454,44.780844,0.0
22.365707,44.771978,0.0
22.528961,44.763998,0.0
22.692214,44.755761,0.0
22.855467,44.748142,0.0
23.018721,44.739789,0.0
23.181974,44.732363,0.0
23.345228,44.7244,0.0
23.508481,44.716804,0.0
23.671734,44.709326,0.0
23.834988,44.701842,0.0
23.998241,44.694495,0.0
24.161494,44.686898,0.0
24.324748,44.680046,0.0
24.488001,44.672876,0.0
24.651254,44.665746,0.0
24.814508,44.658691,0.0
24.977761,44.651691,0.0
25.141014,44.644655,0.0
25.304268,44.637314,0.0
25.467521,44.63081,0.0
25.630774,44.624327,0.0
25.794028,44.617782,0.0
25.957281,44.610963,0.0
26.120534,44.604029,0.0
26.283788,44.597693,0.0
26.447041,44.591131,0.0
26.610294,44.584851,0.0
26.773548,44.577967,0.0
26.936801,44.572141,0.0
27.100054,44.565866,0.0
27.263308,44.559384,0.0
27.426561,44.553102,0.0
27.589814,44.547131,0.0
27.753068,44.540915,0.0
27.916321,44.535039,0.0
28.079574,44.529202,0.0
28.242828,44.52315,0.0
28.406081,44.517108,0.0
28.569334,44.511493,0.0
28.732588,44.505749,0.0
28.895841,44.499702,0.0
29.059094,44.494201,0.0
29.222348,44.488538,0.0
29.385601,44.483132,0.0
29.548854,44.477572,0.0
29.712108,44.472004,0.0
29.875361,44.466442,0.0
