Time (s),Temperature (ºC),Power (W)
0.1061147,24.120578,2.3085739e-05
0.2122293,24.132109,2.3085525e-05
0.318344,24.141174,2.3084955e-05
0.4244587,24.149514,2.3084618e-05
0.5305734,24.157619,2.3084336e-05
0.636688,24.164991,2.3084009e-05
0.7428027,24.172289,2.3083696e-05
0.8489174,24.179442,2.3083427e-05
0.955032,24.186418,2.3083085e-05
1.0611467,24.193228,2.3082802e-05
1.1672614,24.200059,2.3082601e-05
1.273376,24.206599,2.3082222e-05
1.3794907,24.21311,2.3081991e-05
1.4856054,24.2196,2.3081728e-05
1.5917201,24.22589,2.308149e-05
1.6978347,24.232335,2.3081292e-05
1.8039494,24.238542,2.3080936e-05
1.9100641,24.244883,2.3080831e-05
2.0161787,24.250957,2.3080502e-05
2.1222934,24.256849,2.3080193e-05
2.2284081,24.262999,2.3079952e-05
2.3345227,24.268931,2.3079599e-05
2.4406374,24.274844,2.3079461e-05
2.5467521,24.280696,2.3079145e-05
2.6528668,24.286322,2.3078807e-05
2.7589814,24.292057,2.307864e-05
2.8650961,24.297723,2.3078417e-05
2.9712108,24.303342,2.3078183e-05
3.0773254,24.308966,2.3077971e-05
3.1834401,24.314567,2.3077762e-05
3.2895548,24.319835,2.3077572e-05
3.3956694,24.325455,2.3077337e-05
3.5017841,24.330813,2.3077101e-05
3.6078988,24.336173,2.3076937e-05
3.7140135,24.341202,2.3076668e-05
3.8201281,24.346523,2.3076542e-05
3.9262428,24.351738,2.3076228e-05
4.0323575,24.356894,2.3076073e-05
4.1384721,24.36173,2.3075859e-05
4.2445868,24.366883,2.3075571e-05
4.3507015,24.371941,2.3075452e-05
4.4568162,24.376796,2.30751e-05
4.5629308,24.381689,2.3075052e-05
4.6690455,24.386745,2.307481e-05
4.7751602,24.391386,2.3074608e-05
4.8812748,24.396259,2.3074424e-05
4.9873895,24.40071,2.3074224e-05
5.0935042,24.40537,2.307409e-05
5.1996188,24.410097,2.307388e-05
5.3057335,24.414818,2.307369e-05
5.4118482,24.41922,2.3073467e-05
5.5179629,24.423764,2.3073334e-05
5.6240775,24.42818,2.3073046e-05
5.7301922,24.432723,2.3073012e-05
5.8363069,24.437031,2.3072764e-05
5.9424215,24.441454,2.3072571e-05
6.0485362,24.445685,2.307235e-05
6.1546509,24.450017,2.3072262e-05
6.2607655,24.454038,2.3071997e-05
6.3668802,24.458337,2.3071899e-05
6.4729949,24.462507,2.3071826e-05
6.5791096,24.466423,2.3071563e-05
6.6852242,24.470538,2.3071455e-05
6.7913389,24.474734,2.3071292e-05
6.8974536,24.478639,2.3071115e-05
7.0035682,24.482747,2.3071036e-05
7.1096829,24.486458,2.3070746e-05
7.2157976,24.490594,2.3070652e-05
7.3219122,24.494286,2.30705e-05
7.4280269,24.498246,2.307024e-05
7.5341416,24.502117,2.3070208e-05
7.6402563,24.505726,2.3069962e-05
7.7463709,24.509353,2.3069795e-05
7.8524856,24.51323,2.3069793e-05
7.9586003,24.516751,2.3069389e-05
8.0647149,24.520298,2.3069437e-05
8.1708296,24.524073,2.3069276e-05
8.2769443,24.527444,2.3069099e-05
8.383059,24.531099,2.3068922e-05
8.4891736,24.534624,2.3068755e-05
8.5952883,24.538135,2.3068615e-05
8.701403,24.541458,2.3068488e-05
8.8075176,24.544841,2.3068509e-05
8.9136323,24.548206,2.3068219e-05
9.019747,24.551473,2.3068015e-05
9.1258616,24.555032,2.306794e-05
9.2319763,24.558146,2.3067921e-05
9.338091,24.561299,2.30677e-05
9.4442057,24.564665,2.3067612e-05
9.5503203,24.567809,2.3067479e-05
9.656435,24.570914,2.3067331e-05
9.7625497,24.574089,2.3067181e-05
9.8686643,24.577163,2.3067101e-05
9.974779,24.580364,2.3066991e-05
10.080894,24.583225,2.3066862e-05
10.187008,24.586442,2.3066716e-05
10.293123,24.589301,2.3066516e-05
10.399238,24.592323,2.3066478e-05
10.505352,24.595317,2.306627e-05
10.611467,24.598166,2.3066232e-05
10.717582,24.601048,2.3066134e-05
10.823696,24.603876,2.306599e-05
10.929811,24.606996,2.3065876e-05
11.035926,24.609542,2.3065844e-05
11.14204,24.612667,2.3065605e-05
11.248155,24.615184,2.3065652e-05
11.35427,24.617971,2.3065557e-05
11.460384,24.620664,2.3065421e-05
11.566499,24.623489,2.3065229e-05
11.672614,24.625979,2.3065152e-05
11.778728,24.628732,2.3064973e-05
11.884843,24.631241,2.3064916e-05
11.990958,24.633907,2.3064887e-05
12.097072,24.636348,2.3064704e-05
12.203187,24.639033,2.3064672e-05
12.309302,24.641383,2.306456e-05
12.415416,24.644307,2.3064481e-05
12.521531,24.64637,2.3064383e-05
12.627646,24.649082,2.306423e-05
12.73376,24.651431,2.3064193e-05
12.839875,24.653721,2.306416e-05
12.94599,24.656267,2.3064037e-05
13.052104,24.658605,2.306379e-05
13.158219,24.660948,2.3063724e-05
13.264334,24.663298,2.3063645e-05
13.370449,24.66559,2.3063526e-05
13.476563,24.667897,2.3063597e-05
13.582678,24.67005,2.3063319e-05
13.688793,24.664672,0.0
13.794907,24.656223,0.0
13.901022,24.649386,0.0
14.007137,24.643559,0.0
14.113251,24.637792,0.0
14.219366,24.632813,0.0
14.325481,24.627824,0.0
14.431595,24.623022,0.0
14.53771,24.618434,0.0
14.643825,24.613807,0.0
14.749939,24.609229,0.0
14.856054,24.604586,0.0
14.962169,24.600619,0.0
15.068283,24.596299,0.0
15.174398,24.59197,0.0
15.280513,24.587882,0.0
15.386627,24.583494,0.0
15.492742,24.579474,0.0
15.598857,24.575513,0.0
15.704971,24.571426,0.0
15.811086,24.567533,0.0
15.917201,24.563416,0.0
16.023315,24.559637,0.0
16.12943,24.555762,0.0
16.235545,24.551883,0.0
16.341659,24.548035,0.0
16.447774,24.544264,0.0
16.553889,24.540197,0.0
16.660003,24.536772,0.0
16.766118,24.532946,0.0
16.872233,24.529288,0.0
16.978347,24.525645,0.0
17.084462,24.522108,0.0
17.190577,24.518499,0.0
17.296691,24.514956,0.0
17.402806,24.51136,0.0
17.508921,24.508174,0.0
17.615035,24.504467,0.0
17.72115,24.50121,0.0
17.827265,24.497722,0.0
17.933379,24.494257,0.0
18.039494,24.49106,0.0
18.145609,24.487661,0.0
18.251723,24.484498,0.0
18.357838,24.481238,0.0
18.463953,24.478004,0.0
18.570067,24.474868,0.0
18.676182,24.471588,0.0
18.782297,24.468638,0.0
18.888411,24.465338,0.0
18.994526,24.46236,0.0
19.100641,24.459281,0.0
19.206755,24.456412,0.0
19.31287,24.45326,0.0
19.418985,24.450212,0.0
19.525099,24.447413,0.0
19.631214,24.444327,0.0
19.737329,24.441559,0.0
19.843443,24.438589,0.0
19.949558,24.435807,0.0
20.055673,24.432914,0.0
20.161787,24.430198,0.0
20.267902,24.427216,0.0
20.374017,24.424641,0.0
20.480131,24.421596,0.0
20.586246,24.419166,0.0
20.692361,24.416334,0.0
20.798475,24.413707,0.0
20.90459,24.411099,0.0
21.010705,24.408577,0.0
21.116819,24.405855,0.0
21.222934,24.403356,0.0
21.329049,24.400595,0.0
21.435163,24.398086,0.0
21.541278,24.395721,0.0
21.647393,24.39318,0.0
21.753507,24.390561,0.0
21.859622,24.38837,0.0
21.965737,24.385773,0.0
22.071851,24.383568,0.0
22.177966,24.381112,0.0
22.284081,24.37861,0.0
22.390195,24.376484,0.0
22.49631,24.374019,0.0
22.602425,24.371826,0.0
22.708539,24.369437,0.0
22.814654,24.367152,0.0
22.920769,24.364935,0.0
23.026884,24.362629,0.0
23.132998,24.360538,0.0
23.239113,24.358294,0.0
23.345228,24.356025,0.0
23.451342,24.354149,0.0
23.557457,24.351806,0.0
23.663572,24.349695,0.0
23.769686,24.347317,0.0
23.875801,24.345453,0.0
23.981916,24.343336,0.0
24.08803,24.341502,0.0
24.194145,24.339236,0.0
24.30026,24.337409,0.0
24.406374,24.335369,0.0
24.512489,24.33346,0.0
24.618604,24.33141,0.0
24.724718,24.329466,0.0
24.830833,24.327441,0.0
24.936948,24.325741,0.0
25.043062,24.323684,0.0
25.149177,24.321802,0.0
25.255292,24.320021,0.0
25.361406,24.318108,0.0
25.467521,24.316241,0.0
25.573636,24.314653,0.0
25.67975,24.312665,0.0
25.785865,24.310978,0.0
25.89198,24.309166,0.0
25.998094,24.307514,0.0
26.104209,24.305759,0.0
26.210324,24.304019,0.0
26.316438,24.302361,0.0
26.422553,24.300628,0.0
26.528668,24.299121,0.0
26.634782,24.297107,0.0
26.740897,24.295553,0.0
26.847012,24.294028,0.0
26.953126,24.292307,0.0
27.059241,24.290878,0.0
27.165356,24.289221,0.0
