Time (s),Temperature (ºC),Power (W)
0.061219999,13.206788,6.6757726e-06
0.12244,13.212652,6.6756229e-06
0.18366,13.217853,6.6754534e-06
0.24488,13.222149,6.6752545e-06
0.3061,13.226426,6.6751464e-06
0.36732,13.23036,6.6748637e-06
0.42854,13.234346,6.674812e-06
0.48976,13.238101,6.6746724e-06
0.55098,13.241856,6.6745521e-06
0.6122,13.245338,6.6744628e-06
0.67342,13.248957,6.6742679e-06
0.73464,13.252445,6.6741045e-06
0.79586,13.255998,6.6740258e-06
0.85708,13.259509,6.673866e-06
0.9183,13.262628,6.6736873e-06
0.97952,13.266169,6.6735696e-06
1.04074,13.269377,6.6734331e-06
1.10196,13.272746,6.6733356e-06
1.16318,13.27596,6.673223e-06
1.2244,13.279109,6.673123e-06
1.28562,13.28249,6.6729078e-06
1.34684,13.285453,6.6727657e-06
1.40806,13.288639,6.6727769e-06
1.4692801,13.29196,6.6726536e-06
1.5305001,13.294894,6.6724927e-06
1.5917201,13.297801,6.6723491e-06
1.6529401,13.301002,6.6722572e-06
1.7141601,13.303833,6.6721679e-06
1.7753801,13.306833,6.6720207e-06
1.8366001,13.309884,6.6718497e-06
1.8978201,13.312682,6.67177e-06
1.9590401,13.315654,6.6716959e-06
2.0202601,13.318559,6.6715371e-06
2.0814801,13.321108,6.6715097e-06
2.1427001,13.324092,6.6713736e-06
2.2039201,13.32694,6.671299e-06
2.2651401,13.329688,6.6711894e-06
2.3263601,13.332469,6.671026e-06
2.3875801,13.335031,6.6710093e-06
2.4488001,13.337771,6.6707834e-06
2.5100201,13.340411,6.6707418e-06
2.5712401,13.34301,6.6707088e-06
2.6324601,13.34569,6.670651e-06
2.6936801,13.348289,6.6704886e-06
2.7549001,13.350821,6.6703384e-06
2.8161201,13.353401,6.6702526e-06
2.8773401,13.355891,6.6701338e-06
2.9385601,13.358452,6.6700699e-06
2.9997801,13.360758,6.6699298e-06
3.0610001,13.363368,6.6698486e-06
3.1222201,13.365706,6.6697735e-06
3.1834401,13.368074,6.6697222e-06
3.2446601,13.370553,6.669602e-06
3.3058801,13.372935,6.6694695e-06
3.3671001,13.375349,6.6694345e-06
3.4283201,13.377655,6.6693274e-06
3.4895401,13.38005,6.6692772e-06
3.5507601,13.38201,6.669166e-06
3.6119801,13.384478,6.6691478e-06
3.6732001,13.386612,6.6690214e-06
3.7344201,13.388854,6.6689163e-06
3.7956401,13.391101,6.6688808e-06
3.8568601,13.393257,6.6688539e-06
3.9180801,13.395436,6.668687e-06
3.9793001,13.397644,6.6685449e-06
4.0405201,13.399571,6.6685509e-06
4.1017401,13.401821,6.6683596e-06
4.1629601,13.403959,6.6683885e-06
4.2241801,13.406057,6.6683134e-06
4.2854002,13.408233,6.6681972e-06
4.3466202,13.4101,6.6681678e-06
4.4078402,13.412059,6.6680434e-06
4.4690602,13.414213,6.6680592e-06
4.5302802,13.416108,6.6678846e-06
4.5915002,13.418162,6.6678643e-06
4.6527202,13.420095,6.6677877e-06
4.7139402,13.421989,6.6677521e-06
4.7751602,13.424013,6.6676912e-06
4.8363802,13.425771,6.667541e-06
4.8976002,13.427678,6.667475e-06
4.9588202,13.429598,6.6674832e-06
5.0200402,13.431354,6.6673949e-06
5.0812602,13.433202,6.6673126e-06
5.1424802,13.435196,6.6672731e-06
5.2037002,13.436863,6.667199e-06
5.2649202,13.438572,6.6671193e-06
5.3261402,13.440365,6.6670026e-06
5.3873602,13.442061,6.6669224e-06
5.4485802,13.443974,6.6668711e-06
5.5098002,13.445638,6.6668351e-06
5.5710202,13.447201,6.6667793e-06
5.6322402,13.448938,6.6666915e-06
5.6934602,13.450501,6.6666585e-06
5.7546802,13.452279,6.6665397e-06
5.8159002,13.453957,6.6664839e-06
5.8771202,13.455599,6.6664529e-06
5.9383402,13.45725,6.6663743e-06
5.9995602,13.458951,6.6663042e-06
6.0607802,13.460336,6.6663002e-06
6.1220002,13.461859,6.6661637e-06
6.1832202,13.463546,6.6661774e-06
6.2444402,13.465103,6.6661571e-06
