Time (s),Temperature (ºC),Power (W)
0.330588,261.79722,0.001974998
0.661176,261.86092,0.0019750174
0.991764,261.92258,0.001975032
1.322352,261.98135,0.0019750456
1.6529401,262.03933,0.0019750587
1.9835281,262.09616,0.0019750703
2.3141161,262.15199,0.0019750818
2.6447041,262.20747,0.0019750945
2.9752921,262.26235,0.0019751075
3.3058801,262.31767,0.0019751159
3.6364681,262.37143,0.0019751274
3.9670561,262.42606,0.0019751408
4.2976441,262.47937,0.0019751518
4.6282322,262.53261,0.0019751647
4.9588202,262.58534,0.0019751758
5.2894082,262.6383,0.0019751861
5.6199962,262.68967,0.0019751986
5.9505842,262.74205,0.001975209
6.2811722,262.79275,0.0019752209
6.6117602,262.84394,0.0019752319
6.9423482,262.89486,0.001975243
7.2729362,262.94468,0.0019752545
7.6035243,262.99517,0.001975265
7.9341123,263.04384,0.0019752766
8.2647003,263.09354,0.0019752855
8.5952883,263.14181,0.0019752983
8.9258763,263.1914,0.0019753088
9.2564643,263.23948,0.0019753208
9.5870523,263.28704,0.0019753304
9.9176403,263.33414,0.0019753411
10.248228,263.38088,0.0019753518
10.578816,263.42872,0.0019753605
10.909404,263.47455,0.0019753731
11.239992,263.52048,0.0019753845
11.57058,263.56669,0.001975394
11.901168,263.61268,0.0019754048
12.231756,263.65816,0.0019754134
12.562344,263.70315,0.0019754227
12.892932,263.74705,0.0019754326
13.22352,263.79196,0.0019754443
13.554108,263.83622,0.0019754547
13.884696,263.87946,0.0019754626
14.215284,263.92274,0.001975472
14.545872,263.96658,0.0019754828
14.87646,264.00864,0.0019754913
15.207048,264.05081,0.0019755011
15.537636,264.09392,0.0019755082
15.868224,264.1354,0.0019755189
16.198813,264.17639,0.0019755286
16.529401,264.21772,0.0019755379
16.859989,264.26002,0.0019755468
17.190577,264.29947,0.0019755551
17.521165,264.34058,0.0019755648
17.851753,264.38056,0.001975574
18.182341,264.42109,0.0019755833
18.512929,264.46018,0.0019755911
18.843517,264.49993,0.0019755997
19.174105,264.53844,0.001975609
19.504693,264.57736,0.0019756164
19.835281,264.61601,0.0019756234
20.165869,264.65384,0.0019756326
20.496457,264.6924,0.0019756416
20.827045,264.72891,0.001975648
21.157633,264.76689,0.0019756584
21.488221,264.80495,0.0019756676
21.818809,264.84173,0.0019756785
22.149397,264.8781,0.0019756847
22.479985,264.9143,0.001975692
22.810573,264.9504,0.0019757005
23.141161,264.98698,0.0019757069
23.471749,265.02226,0.0019757142
23.802337,265.05715,0.0019757229
24.132925,265.09269,0.0019757291
24.463513,265.12763,0.0019757381
24.794101,265.16358,0.0019757441
25.124689,265.19734,0.0019757529
25.455277,265.23127,0.0019757609
