[Header]
DATATYPE,TIME,1
STARTUPAXIS, X, 1, LINEAR, AUTO
STARTUPAXIS, Y1, 4, LINEAR, AUTO
STARTUPAXIS, Y2, 2, LINEAR, AUTO
INFO,[Header]
INFO,DATATYPE,TIME,1
INFO,STARTUPAXIS, X, 1, LINEAR, AUTO
INFO,STARTUPAXIS, Y1, 4, LINEAR, AUTO
INFO,STARTUPAXIS, Y2, 2, LINEAR, AUTO
[Data]
Time (sec), Power (W), Resistance (Ohm), Temperature (K)
1.3019454,0.0055823913,176.34898,100.63348
2.6038908,0.005582642,174.5217,101.81343
3.9058361,0.0055828434,173.05937,102.77521
5.2077815,0.0055830535,171.6721,103.70233
6.5097269,0.0055832627,170.34595,104.60225
7.8116723,0.0055834757,169.07722,105.47592
9.1136176,0.0055836834,167.86093,106.3254
10.415563,0.0055838973,166.69458,107.15116
11.717508,0.0055841045,165.57394,107.95507
13.019454,0.0055843185,164.49684,108.73767
14.321399,0.0055845242,163.46062,109.49992
15.623344,0.0055847348,162.46269,110.24284
16.92529,0.0055849401,161.50127,110.96695
18.227235,0.0055851463,160.57411,111.67315
19.529181,0.0055853501,159.67873,112.36266
20.831126,0.0055855472,158.81422,113.03551
22.133071,0.0055857544,157.97966,113.6918
23.435017,0.0055859485,157.17218,114.33321
24.736962,0.0055861407,156.3909,114.95989
26.038908,0.0055863329,155.63547,115.57164
27.340853,0.0055865241,154.90326,116.17009
28.642798,0.0055867134,154.19489,116.7543
29.944744,0.0055869007,153.50917,117.3248
31.246689,0.0055870852,152.84491,117.88219
32.548634,0.0055872662,152.20181,118.42631
33.85058,0.0055874468,151.58145,118.95545
35.152525,0.0055876235,150.98515,119.46805
36.454471,0.0055877953,150.42166,119.95607
37.756416,0.0055879517,149.91843,120.39491
39.058361,0.0055880742,149.55504,120.71359
40.360307,0.0055881502,149.38112,120.86664
41.662252,0.0055881923,149.30797,120.93112
42.964197,0.0055882204,149.26805,120.96633
44.266143,0.0055882557,149.23857,120.99235
45.568088,0.0055882915,149.21025,121.01735
46.870034,0.0055883269,149.17943,121.04457
48.171979,0.0055883637,149.14192,121.07771
49.473924,0.0055884029,149.08794,121.12544
50.77587,0.0055884494,148.99628,121.20655
52.077815,0.0055885075,148.8233,121.35988
53.37976,0.005588599,148.53447,121.61669
54.681706,0.0055887219,148.14006,121.96895
55.983651,0.0055888579,147.68584,122.37689
57.285597,0.0055890177,147.20857,122.80816
58.587542,0.0055891683,146.72578,123.2472
59.889487,0.0055893198,146.24646,123.68587
61.191433,0.0055894776,145.77388,124.12113
62.493378,0.0055896335,145.30925,124.55174
63.795323,0.0055897932,144.85414,124.97614
65.097269,0.0055899457,144.40738,125.39529
66.399214,0.0055900948,143.97063,125.80749
67.70116,0.0055902468,143.5424,126.21402
69.003105,0.005590395,143.12418,126.61334
70.30505,0.0055905402,142.71429,127.00691
71.606996,0.0055906845,142.31316,127.39422
72.908941,0.0055908345,141.9211,127.77483
74.210886,0.0055909701,141.53627,128.15041
75.512832,0.0055911148,141.16028,128.5193
76.814777,0.0055912509,140.79187,128.88261
78.116723,0.0055913879,140.43095,129.24033
79.418668,0.0055915263,140.07799,129.59192
80.720613,0.0055916624,139.73166,129.93857
82.022559,0.005591794,139.39276,130.27942
83.324504,0.0055919277,139.0607,130.61496
84.62645,0.0055920588,138.73558,130.945
