Time (s),Temperature (ºC),Power (W)
0.036731999,7.2696903,1.6970223e-06
0.073463999,7.273116,1.6969544e-06
0.110196,7.2758663,1.6968784e-06
0.146928,7.2784409,1.6968099e-06
0.18366,7.2808231,1.6967472e-06
0.220392,7.2831389,1.6966806e-06
0.257124,7.2854696,1.696622e-06
0.293856,7.2876008,1.696558e-06
0.330588,7.2898966,1.6964963e-06
0.36732,7.2920661,1.6964456e-06
0.404052,7.2941956,1.6963859e-06
0.440784,7.2962498,1.696331e-06
0.477516,7.2982677,1.6962763e-06
0.514248,7.3004192,1.6962156e-06
0.55098,7.3024317,1.6961695e-06
0.587712,7.3044184,1.6961051e-06
0.624444,7.3063918,1.6960591e-06
0.661176,7.3082952,1.6960018e-06
0.697908,7.3102908,1.6959577e-06
0.73464,7.3122143,1.6959023e-06
0.771372,7.3141447,1.6958519e-06
0.808104,7.3159441,1.6958058e-06
0.844836,7.3178515,1.695747e-06
0.881568,7.3196847,1.6957001e-06
0.9183,7.321554,1.6956503e-06
0.955032,7.3232511,1.6956045e-06
0.991764,7.3250012,1.6955584e-06
1.028496,7.3268317,1.6955083e-06
1.065228,7.3286042,1.6954732e-06
1.10196,7.3303205,1.6954215e-06
1.138692,7.3320085,1.6953715e-06
1.175424,7.3336688,1.6953398e-06
1.212156,7.3352305,1.6952839e-06
1.248888,7.3368549,1.6952424e-06
1.28562,7.3386224,1.6951949e-06
1.322352,7.3401389,1.695147e-06
1.359084,7.3417838,1.6951152e-06
1.395816,7.3433995,1.6950675e-06
1.4325481,7.3449337,1.6950286e-06
1.4692801,7.3464296,1.6949854e-06
1.5060121,7.3479704,1.6949446e-06
1.5427441,7.3494153,1.6949041e-06
1.5794761,7.3509378,1.6948644e-06
1.6162081,7.3524847,1.6948282e-06
1.6529401,7.3539144,1.6947958e-06
1.6896721,7.3554039,1.6947504e-06
1.7264041,7.3568292,1.6947203e-06
1.7631361,7.3583252,1.6946753e-06
1.7998681,7.3596696,1.6946387e-06
1.8366001,7.3610539,1.6946098e-06
1.8733321,7.3625005,1.6945728e-06
1.9100641,7.3638546,1.6945345e-06
1.9467961,7.3652369,1.6944925e-06
1.9835281,7.3664962,1.6944599e-06
2.0202601,7.3677838,1.694427e-06
2.0569921,7.3690706,1.6943865e-06
2.0937241,7.370354,1.6943568e-06
2.1304561,7.3717115,1.6943316e-06
2.1671881,7.3728762,1.694283e-06
2.2039201,7.3741819,1.6942524e-06
2.2406521,7.3754204,1.6942266e-06
2.2773841,7.3767653,1.6941918e-06
2.3141161,7.3780016,1.6941619e-06
2.3508481,7.3790567,1.6941275e-06
2.3875801,7.3803618,1.6940953e-06
2.4243121,7.3814056,1.694062e-06
2.4610441,7.3824736,1.6940299e-06
2.4977761,7.3837316,1.6940004e-06
2.5345081,7.3848483,1.6939758e-06
2.5712401,7.3860049,1.6939383e-06
2.6079721,7.3870979,1.6939164e-06
2.6447041,7.388256,1.6938872e-06
2.6814361,7.3893069,1.6938514e-06
2.7181681,7.3903537,1.6938305e-06
2.7549001,7.3914825,1.6937907e-06
2.7916321,7.3924677,1.69377e-06
2.8283641,7.3935227,1.6937472e-06
2.8650961,7.3945559,1.6937126e-06
2.9018281,7.3957117,1.6936851e-06
2.9385601,7.3966339,1.6936675e-06
2.9752921,7.397661,1.6936445e-06
3.0120241,7.3986273,1.6936233e-06
3.0487561,7.3996473,1.6935839e-06
3.0854881,7.4005538,1.6935603e-06
3.1222201,7.4015802,1.6935363e-06
3.1589521,7.4024058,1.6935104e-06
3.1956841,7.4035385,1.6934892e-06
3.2324161,7.4043757,1.6934613e-06
3.2691481,7.4054406,1.6934325e-06
3.3058801,7.4062275,1.693411e-06
3.3426121,7.4071632,1.6933892e-06
3.3793441,7.4081326,1.6933697e-06
3.4160761,7.4089952,1.6933412e-06
3.4528081,7.4098508,1.6933172e-06
3.4895401,7.4107204,1.6932924e-06
3.5262721,7.4116634,1.693269e-06
3.5630041,7.4123591,1.6932597e-06
3.5997361,7.4133124,1.6932278e-06
3.6364681,7.4141235,1.693205e-06
3.6732001,7.4148086,1.6931848e-06
3.7099321,7.4156254,1.693169e-06
3.7466641,7.4165522,1.693145e-06
3.7833961,7.4173995,1.6931207e-06
3.8201281,7.4181449,1.6931049e-06
3.8568601,7.4189802,1.6930903e-06
3.8935921,7.4196978,1.6930538e-06
3.9303241,7.420523,1.6930447e-06
3.9670561,7.421283,1.6930241e-06
4.0037881,7.4219395,1.6929962e-06
4.0405201,7.4227201,1.6929803e-06
4.0772521,7.4235573,1.6929554e-06
4.1139841,7.4242399,1.6929471e-06
4.1507161,7.4249214,1.6929272e-06
4.1874481,7.425624,1.6929074e-06
4.2241801,7.4264121,1.6928919e-06
4.2609121,7.4271111,1.6928649e-06
4.2976441,7.4278083,1.6928471e-06
4.3343762,7.4284446,1.6928397e-06
4.3711082,7.4291473,1.6928098e-06
4.4078402,7.4299284,1.6928014e-06
4.4445722,7.4305533,1.6927799e-06
4.4813042,7.431225,1.692766e-06
4.5180362,7.4318652,1.6927544e-06
4.5547682,7.4324077,1.6927297e-06
4.5915002,7.4331646,1.6927256e-06
4.6282322,7.4337382,1.692697e-06
4.6649642,7.4345007,1.6926798e-06
4.7016962,7.4349896,1.6926692e-06
4.7384282,7.4332264,0.0
