Time (s),Temperature (ºC),Power (W)
0.073463999,16.148346,1.0173827e-05
0.146928,16.155795,1.0173548e-05
0.220392,16.16161,1.017334e-05
0.293856,16.167154,1.0173145e-05
0.36732,16.172171,1.0172783e-05
0.440784,16.177163,1.017263e-05
0.514248,16.181887,1.0172513e-05
0.587712,16.186346,1.0172268e-05
0.661176,16.190812,1.0172135e-05
0.73464,16.195364,1.0171918e-05
0.808104,16.199608,1.0171704e-05
0.881568,16.203749,1.017155e-05
0.955032,16.207943,1.0171337e-05
1.028496,16.212127,1.0171179e-05
1.10196,16.216194,1.0171042e-05
1.175424,16.220471,1.0170883e-05
1.248888,16.224399,1.0170731e-05
1.322352,16.228426,1.0170624e-05
1.395816,16.232325,1.0170429e-05
1.4692801,16.236153,1.0170283e-05
1.5427441,16.240026,1.0170193e-05
1.6162081,16.24376,1.0169964e-05
1.6896721,16.247675,1.0169887e-05
1.7631361,16.251426,1.0169697e-05
1.8366001,16.255028,1.0169597e-05
1.9100641,16.258843,1.0169286e-05
1.9835281,16.262393,1.0169245e-05
2.0569921,16.266027,1.0169018e-05
2.1304561,16.269646,1.0169016e-05
2.2039201,16.273293,1.0168771e-05
2.2773841,16.276658,1.0168668e-05
2.3508481,16.280171,1.0168557e-05
2.4243121,16.283802,1.0168333e-05
2.4977761,16.286912,1.0168179e-05
2.5712401,16.290308,1.0168084e-05
2.6447041,16.293833,1.0168014e-05
2.7181681,16.297278,1.0167878e-05
2.7916321,16.300295,1.0167732e-05
2.8650961,16.303707,1.0167539e-05
2.9385601,16.306773,1.0167484e-05
3.0120241,16.309999,1.0167331e-05
3.0854881,16.313366,1.0167229e-05
3.1589521,16.316399,1.0167044e-05
3.2324161,16.319634,1.0166981e-05
3.3058801,16.322815,1.0166809e-05
3.3793441,16.32566,1.0166588e-05
3.4528081,16.328879,1.0166577e-05
3.5262721,16.331847,1.0166449e-05
3.5997361,16.335076,1.0166389e-05
3.6732001,16.33761,1.0166242e-05
3.7466641,16.340761,1.0166036e-05
3.8201281,16.343783,1.016602e-05
3.8935921,16.346628,1.016584e-05
3.9670561,16.349491,1.0165762e-05
4.0405201,16.352412,1.016571e-05
4.1139841,16.354979,1.0165599e-05
4.1874481,16.357919,1.0165388e-05
4.2609121,16.360613,1.0165311e-05
4.3343762,16.363382,1.0165225e-05
4.4078402,16.365985,1.016511e-05
4.4813042,16.368714,1.0164991e-05
4.5547682,16.371434,1.0164859e-05
4.6282322,16.374075,1.0164795e-05
4.7016962,16.376669,1.0164669e-05
4.7751602,16.379428,1.0164551e-05
4.8486242,16.381781,1.0164446e-05
4.9220882,16.384406,1.0164401e-05
4.9955522,16.386748,1.0164284e-05
5.0690162,16.389431,1.0164176e-05
5.1424802,16.392014,1.0164046e-05
5.2159442,16.394363,1.0164006e-05
5.2894082,16.39695,1.016388e-05
5.3628722,16.399238,1.0163754e-05
5.4363362,16.401618,1.0163693e-05
5.5098002,16.404059,1.0163634e-05
5.5832642,16.406353,1.016348e-05
5.6567282,16.408647,1.0163344e-05
5.7301922,16.410968,1.0163217e-05
5.8036562,16.413304,1.0163235e-05
5.8771202,16.4157,1.0163142e-05
5.9505842,16.417506,1.0163027e-05
6.0240482,16.420208,1.0162959e-05
6.0975122,16.422472,1.0162866e-05
6.1709762,16.424536,1.016275e-05
6.2444402,16.426622,1.0162667e-05
6.3179042,16.42872,1.0162646e-05
6.3913682,16.431008,1.0162478e-05
6.4648322,16.433124,1.0162424e-05
6.5382962,16.435025,1.0162357e-05
6.6117602,16.437148,1.0162315e-05
6.6852242,16.439289,1.0162273e-05
6.7586882,16.441501,1.0162114e-05
6.8321522,16.443569,1.0162038e-05
6.9056162,16.445283,1.016193e-05
6.9790802,16.447322,1.0161851e-05
7.0525442,16.449511,1.0161861e-05
7.1260082,16.451352,1.0161706e-05
7.1994722,16.453269,1.0161678e-05
7.2729362,16.45517,1.0161637e-05
7.3464002,16.456965,1.0161476e-05
7.4198643,16.459074,1.0161492e-05
7.4933283,16.460819,1.01614e-05
7.5667923,16.462799,1.0161227e-05
7.6402563,16.464449,1.0161196e-05
7.7137203,16.466375,1.0161028e-05
7.7871843,16.468351,1.0161099e-05
7.8606483,16.470091,1.0161008e-05
7.9341123,16.471817,1.0160917e-05
8.0075763,16.473611,1.0160815e-05
8.0810403,16.475295,1.016076e-05
8.1545043,16.47712,1.0160746e-05
