Time (s),Temperature (ºC),Power (W)
0.0530573,10.816315,4.2565988e-06
0.1061147,10.82135,4.2564481e-06
0.159172,10.825418,4.2562881e-06
0.2122293,10.829168,4.2561832e-06
0.2652867,10.83259,4.256053e-06
0.318344,10.836002,4.2559184e-06
0.3714013,10.83933,4.2558187e-06
0.4244587,10.842388,4.2556861e-06
0.477516,10.845426,4.2556021e-06
0.5305734,10.848507,4.255492e-06
0.5836307,10.851568,4.2554204e-06
0.636688,10.854501,4.2553179e-06
0.6897454,10.85751,4.2552239e-06
0.7428027,10.860406,4.2551097e-06
0.79586,10.863309,4.2550346e-06
0.8489174,10.866009,4.2548871e-06
0.9019747,10.868866,4.2547737e-06
0.955032,10.871689,4.2547143e-06
1.0080894,10.874302,4.2545893e-06
1.0611467,10.877149,4.2545089e-06
1.114204,10.879801,4.2543927e-06
1.1672614,10.882374,4.254289e-06
1.2203187,10.885102,4.2542086e-06
1.273376,10.88767,4.2541267e-06
1.3264334,10.890415,4.2540824e-06
1.3794907,10.892829,4.2539784e-06
1.4325481,10.895343,4.253939e-06
1.4856054,10.897851,4.2537931e-06
1.5386627,10.900314,4.2537151e-06
1.5917201,10.902859,4.253658e-06
1.6447774,10.905227,4.2535258e-06
1.6978347,10.907777,4.2534836e-06
1.7508921,10.910027,4.2533823e-06
1.8039494,10.912425,4.2533305e-06
1.8570067,10.914729,4.2532316e-06
1.9100641,10.917099,4.2531552e-06
1.9631214,10.919413,4.2530298e-06
2.0161787,10.92166,4.2529394e-06
2.0692361,10.923958,4.2528719e-06
2.1222934,10.926181,4.2528261e-06
2.1753507,10.928487,4.2527678e-06
2.2284081,10.930707,4.2526665e-06
2.2814654,10.932779,4.2525801e-06
2.3345227,10.934971,4.2525069e-06
2.3875801,10.937179,4.2524539e-06
2.4406374,10.939213,4.2523904e-06
2.4936948,10.941277,4.2522686e-06
2.5467521,10.94334,4.2522349e-06
2.5998094,10.945411,4.2521139e-06
2.6528668,10.947494,4.2521645e-06
2.7059241,10.94939,4.252046e-06
2.7589814,10.951527,4.2520174e-06
2.8120388,10.953554,4.2518651e-06
2.8650961,10.955421,4.2517923e-06
2.9181534,10.957342,4.2517566e-06
2.9712108,10.959373,4.2516561e-06
3.0242681,10.961169,4.2516388e-06
3.0773254,10.963039,4.2516043e-06
3.1303828,10.964968,4.2514732e-06
3.1834401,10.96681,4.2514125e-06
3.2364974,10.968633,4.2513928e-06
3.2895548,10.970452,4.2512924e-06
3.3426121,10.972266,4.2512779e-06
3.3956694,10.974114,4.2512144e-06
3.4487268,10.975757,4.2511272e-06
3.5017841,10.97756,4.2510613e-06
3.5548415,10.979131,4.2510428e-06
3.6078988,10.980962,4.2509065e-06
3.6609561,10.982721,4.250876e-06
3.7140135,10.984376,4.2508378e-06
3.7670708,10.986066,4.2507743e-06
3.8201281,10.987729,4.2507498e-06
3.8731855,10.989442,4.2506634e-06
3.9262428,10.99101,4.2506003e-06
3.9793001,10.9926,4.2506212e-06
4.0323575,10.994262,4.2505569e-06
4.0854148,10.995732,4.2504962e-06
4.1384721,10.997401,4.2504198e-06
4.1915295,10.998961,4.2502936e-06
4.2445868,11.00038,4.2503599e-06
4.2976441,11.002014,4.2502703e-06
4.3507015,11.003516,4.2502329e-06
4.4037588,11.005036,4.2501638e-06
4.4568162,11.006507,4.2501264e-06
4.5098735,11.007867,4.2500103e-06
4.5629308,11.009468,4.2499918e-06
4.6159882,11.010684,4.2499709e-06
4.6690455,11.012274,4.2498937e-06
4.7221028,11.013714,4.2498101e-06
4.7751602,11.01503,4.2498411e-06
4.8282175,11.016521,4.2498262e-06
4.8812748,11.017766,4.2497382e-06
4.9343322,11.019163,4.2496988e-06
4.9873895,11.020536,4.2496542e-06
5.0404468,11.021847,4.2495428e-06
5.0935042,11.023192,4.249544e-06
5.1465615,11.024438,4.2494327e-06
5.1996188,11.025838,4.2494166e-06
5.2526762,11.027103,4.2493724e-06
5.3057335,11.02826,4.2493684e-06
5.3587908,11.029533,4.2493511e-06
5.4118482,11.030911,4.249282e-06
5.4649055,11.032108,4.2492736e-06
5.5179629,11.033352,4.2492201e-06
5.5710202,11.034617,4.2490778e-06
5.6240775,11.035822,4.249116e-06
5.6771349,11.037022,4.2490975e-06
5.7301922,11.038148,4.2490187e-06
5.7832495,11.039364,4.2489496e-06
5.8363069,11.040513,4.2489038e-06
5.8893642,11.04161,4.2488753e-06
5.9424215,11.042791,4.2488837e-06
5.9954789,11.043861,4.2488073e-06
6.0485362,11.045053,4.2488049e-06
6.1015935,11.046228,4.2487575e-06
6.1546509,11.047246,4.2487378e-06
6.2077082,11.048272,4.2486787e-06
6.2607655,11.049432,4.2487085e-06
6.3138229,11.050429,4.2486168e-06
6.3668802,11.051573,4.2486168e-06
6.4199376,11.052635,4.2485622e-06
6.4729949,11.053691,4.2485276e-06
6.5260522,11.054727,4.2484681e-06
6.5791096,11.055695,4.2484521e-06
6.6321669,11.056822,4.2484573e-06
6.6852242,11.057744,4.2483681e-06
6.7382816,11.058688,4.2483327e-06
6.7913389,11.059705,4.2483198e-06
6.8443962,11.057193,0.0
6.8974536,11.053376,0.0
6.9505109,11.050489,0.0
7.0035682,11.047803,0.0
7.0566256,11.045418,0.0
7.1096829,11.043002,0.0
7.1627402,11.040905,0.0
7.2157976,11.038806,0.0
7.2688549,11.036673,0.0
7.3219123,11.03474,0.0
7.3749696,11.032731,0.0
7.4280269,11.030636,0.0
7.4810843,11.028711,0.0
7.5341416,11.026918,0.0
7.5871989,11.024953,0.0
7.6402563,11.023019,0.0
7.6933136,11.021287,0.0
7.7463709,11.019476,0.0
7.7994283,11.017674,0.0
7.8524856,11.015827,0.0
7.9055429,11.01398,0.0
7.9586003,11.012222,0.0
8.0116576,11.010532,0.0
8.0647149,11.008771,0.0
8.1177723,11.007056,0.0
8.1708296,11.005284,0.0
8.2238869,11.003579,0.0
8.2769443,11.001917,0.0
8.3300016,11.000345,0.0
8.383059,10.998595,0.0
8.4361163,10.996973,0.0
8.4891736,10.995384,0.0
8.542231,10.993731,0.0
8.5952883,10.99215,0.0
8.6483456,10.990566,0.0
8.701403,10.989042,0.0
8.7544603,10.987511,0.0
8.8075176,10.986036,0.0
8.860575,10.984438,0.0
8.9136323,10.982846,0.0
8.9666896,10.981462,0.0
9.019747,10.979965,0.0
9.0728043,10.978469,0.0
9.1258616,10.976989,0.0
9.178919,10.975598,0.0
9.2319763,10.97416,0.0
9.2850337,10.972657,0.0
9.338091,10.971265,0.0
9.3911483,10.969797,0.0
9.4442057,10.968566,0.0
9.497263,10.967148,0.0
9.5503203,10.965799,0.0
9.6033777,10.964516,0.0
9.656435,10.963099,0.0
9.7094923,10.961812,0.0
9.7625497,10.960406,0.0
9.815607,10.959227,0.0
9.8686643,10.957925,0.0
9.9217217,10.956596,0.0
9.974779,10.95533,0.0
10.027836,10.954117,0.0
10.080894,10.952822,0.0
10.133951,10.951582,0.0
10.187008,10.950381,0.0
10.240066,10.949138,0.0
10.293123,10.947995,0.0
10.34618,10.946791,0.0
10.399238,10.945648,0.0
10.452295,10.944447,0.0
10.505352,10.943321,0.0
10.55841,10.942168,0.0
10.611467,10.941044,0.0
10.664524,10.939904,0.0
10.717582,10.938834,0.0
10.770639,10.937731,0.0
10.823696,10.936504,0.0
10.876754,10.935493,0.0
10.929811,10.934433,0.0
10.982868,10.933276,0.0
11.035926,10.932262,0.0
11.088983,10.931224,0.0
11.14204,10.930203,0.0
11.195098,10.929194,0.0
11.248155,10.928059,0.0
11.301212,10.927188,0.0
11.35427,10.926157,0.0
11.407327,10.925143,0.0
11.460384,10.924065,0.0
11.513442,10.923087,0.0
11.566499,10.922185,0.0
11.619556,10.921315,0.0
11.672614,10.920405,0.0
11.725671,10.919257,0.0
11.778728,10.91838,0.0
11.831786,10.917509,0.0
11.884843,10.916615,0.0
11.9379,10.915654,0.0
11.990958,10.914744,0.0
12.044015,10.91384,0.0
12.097072,10.912962,0.0
12.15013,10.912081,0.0
12.203187,10.911254,0.0
12.256244,10.910413,0.0
12.309302,10.909611,0.0
