Time (s),Temperature (ºC),Power (W)
0.0448947,8.8703273,2.6700997e-06
0.0897893,8.8744948,2.6699962e-06
0.134684,8.8778591,2.6699045e-06
0.1795787,8.8809455,2.669807e-06
0.2244733,8.8837744,2.6697301e-06
0.269368,8.8865226,2.6696415e-06
0.3142627,8.8892558,2.6695535e-06
0.3591573,8.8918372,2.6694782e-06
0.404052,8.8945362,2.6693978e-06
0.4489467,8.8971131,2.6693268e-06
0.4938414,8.8994876,2.6692433e-06
0.538736,8.9020707,2.6691603e-06
0.5836307,8.9044934,2.6690989e-06
0.6285254,8.9069997,2.6690203e-06
0.67342,8.9092759,2.668945e-06
0.7183147,8.9115846,2.668875e-06
0.7632094,8.9139077,2.6687949e-06
0.808104,8.9162593,2.6687347e-06
0.8529987,8.9185581,2.668665e-06
0.8978934,8.9207687,2.668589e-06
0.942788,8.9231264,2.6685329e-06
0.9876827,8.925252,2.6684644e-06
1.0325774,8.9275641,2.6683982e-06
1.077472,8.9296195,2.6683345e-06
1.1223667,8.9318353,2.6682658e-06
1.1672614,8.9338022,2.6682053e-06
1.212156,8.9359981,2.6681397e-06
1.2570507,8.9380105,2.6680703e-06
1.3019454,8.9401593,2.6680091e-06
1.34684,8.9422112,2.6679483e-06
1.3917347,8.9441995,2.6678893e-06
1.4366294,8.9462373,2.6678259e-06
1.4815241,8.9482336,2.6677619e-06
1.5264187,8.9501489,2.667708e-06
1.5713134,8.9520824,2.6676494e-06
1.6162081,8.9539813,2.6675989e-06
1.6611027,8.955874,2.6675251e-06
1.7059974,8.9577494,2.6674715e-06
1.7508921,8.959585,2.6674138e-06
1.7957867,8.9614622,2.6673678e-06
1.8406814,8.9634429,2.6673117e-06
1.8855761,8.9651489,2.6672527e-06
1.9304707,8.9669077,2.6672004e-06
1.9753654,8.9687883,2.6671452e-06
2.0202601,8.9704233,2.6670947e-06
2.0651547,8.9722201,2.6670462e-06
2.1100494,8.9739248,2.6669973e-06
2.1549441,8.9756518,2.6669449e-06
2.1998387,8.9771367,2.666897e-06
2.2447334,8.9791548,2.666857e-06
2.2896281,8.9805818,2.6667964e-06
2.3345227,8.982374,2.6667372e-06
2.3794174,8.9838042,2.6666981e-06
2.4243121,8.9854588,2.6666568e-06
2.4692067,8.9871263,2.6665981e-06
2.5141014,8.9887086,2.6665477e-06
2.5589961,8.9901033,2.6665104e-06
2.6038908,8.9916202,2.6664616e-06
2.6487854,8.9932627,2.6664146e-06
2.6936801,8.9949182,2.6663667e-06
2.7385748,8.9962576,2.6663244e-06
2.7834694,8.9978251,2.6662784e-06
2.8283641,8.9991573,2.6662374e-06
2.8732588,9.0005382,2.6661828e-06
2.9181534,9.0020099,2.6661516e-06
2.9630481,9.0034677,2.6661018e-06
3.0079428,9.0048255,2.6660542e-06
3.0528374,9.0061333,2.6660286e-06
3.0977321,9.0077026,2.6659769e-06
3.1426268,9.0090053,2.6659375e-06
3.1875214,9.0104112,2.6658965e-06
3.2324161,9.0118526,2.6658565e-06
3.2773108,9.0131308,2.6658168e-06
3.3222054,9.0144465,2.6657755e-06
3.3671001,9.015807,2.6657417e-06
3.4119948,9.0169629,2.6657014e-06
3.4568894,9.0182829,2.6656585e-06
3.5017841,9.0195674,2.6656232e-06
3.5466788,9.020648,2.6655891e-06
3.5915735,9.0220426,2.6655535e-06
3.6364681,9.023222,2.6655159e-06
3.6813628,9.024541,2.6654775e-06
3.7262575,9.025718,2.665445e-06
3.7711521,9.0268086,2.6654065e-06
3.8160468,9.0280204,2.6653741e-06
3.8609415,9.0291674,2.6653331e-06
3.9058361,9.0304182,2.6653e-06
3.9507308,9.0315297,2.6652725e-06
3.9956255,9.0326829,2.6652347e-06
4.0405201,9.0336843,2.6652076e-06
4.0854148,9.0349717,2.6651808e-06
4.1303095,9.03604,2.6651436e-06
4.1752041,9.0372587,2.6651105e-06
4.2200988,9.0381681,2.6650783e-06
4.2649935,9.0393553,2.665042e-06
4.3098881,9.0402724,2.6650083e-06
4.3547828,9.0412592,2.6649761e-06
4.3996775,9.0424277,2.6649531e-06
4.4445722,9.0432998,2.6649128e-06
4.4894668,9.0444699,2.6648982e-06
4.5343615,9.0455843,2.6648557e-06
4.5792562,9.0464095,2.6648292e-06
4.6241508,9.0474839,2.6647977e-06
4.6690455,9.0483935,2.6647674e-06
4.7139402,9.0493688,2.6647441e-06
4.7588348,9.0503952,2.6647191e-06
4.8037295,9.0513565,2.6646857e-06
4.8486242,9.0523522,2.6646539e-06
4.8935188,9.0532099,2.6646277e-06
4.9384135,9.0541687,2.6645955e-06
4.9833082,9.0551183,2.6645732e-06
5.0282028,9.0561462,2.664552e-06
5.0730975,9.056833,2.6645164e-06
5.1179922,9.0577,2.6644934e-06
5.1628868,9.0585204,2.6644707e-06
5.2077815,9.0595075,2.664441e-06
5.2526762,9.0604615,2.6644218e-06
5.2975708,9.0611543,2.6643874e-06
5.3424655,9.0620566,2.6643666e-06
5.3873602,9.0628528,2.6643464e-06
5.4322549,9.0637774,2.6643152e-06
5.4771495,9.0646543,2.664302e-06
5.5220442,9.0654385,2.6642692e-06
5.5669389,9.0662301,2.664249e-06
5.6118335,9.0671096,2.6642213e-06
5.6567282,9.0679413,2.6642011e-06
5.7016229,9.0687115,2.6641828e-06
5.7465175,9.0695195,2.6641604e-06
5.7914122,9.0673486,0.0
5.8363069,9.0640745,0.0
5.8812015,9.0617721,0.0
5.9260962,9.0594919,0.0
5.9709909,9.0574533,0.0
6.0158855,9.055574,0.0
6.0607802,9.0535603,0.0
6.1056749,9.051873,0.0
6.1505695,9.05015,0.0
6.1954642,9.0484112,0.0
6.2403589,9.0466295,0.0
6.2852535,9.045024,0.0
6.3301482,9.0433869,0.0
6.3750429,9.0416728,0.0
6.4199376,9.0402216,0.0
6.4648322,9.0385803,0.0
6.5097269,9.0369749,0.0
6.5546216,9.0352491,0.0
6.5995162,9.0337909,0.0
6.6444109,9.0323498,0.0
6.6893056,9.0308286,0.0
6.7342002,9.0291902,0.0
6.7790949,9.0277497,0.0
6.8239896,9.0262457,0.0
6.8688842,9.0248383,0.0
6.9137789,9.0233964,0.0
6.9586736,9.021795,0.0
7.0035682,9.0202613,0.0
7.0484629,9.0189426,0.0
7.0933576,9.0176409,0.0
7.1382522,9.0160944,0.0
7.1831469,9.0148718,0.0
7.2280416,9.0135735,0.0
7.2729362,9.0120604,0.0
7.3178309,9.010691,0.0
7.3627256,9.0095092,0.0
7.4076203,9.0080809,0.0
7.4525149,9.0069492,0.0
7.4974096,9.0055055,0.0
7.5423043,9.0043406,0.0
7.5871989,9.0029985,0.0
7.6320936,9.0016835,0.0
7.6769883,9.0003145,0.0
7.7218829,8.9992373,0.0
7.7667776,8.9979964,0.0
7.8116723,8.9967568,0.0
7.8565669,8.9955525,0.0
7.9014616,8.9943352,0.0
7.9463563,8.9932484,0.0
7.9912509,8.992038,0.0
8.0361456,8.9906682,0.0
8.0810403,8.9897338,0.0
8.1259349,8.9884989,0.0
8.1708296,8.987427,0.0
8.2157243,8.9863523,0.0
8.260619,8.9851859,0.0
8.3055136,8.984125,0.0
8.3504083,8.9831187,0.0
8.395303,8.9820012,0.0
8.4401976,8.9809126,0.0
8.4850923,8.9798264,0.0
8.529987,8.9788793,0.0
8.5748816,8.9777987,0.0
8.6197763,8.9768174,0.0
8.664671,8.9757405,0.0
8.7095656,8.9746068,0.0
8.7544603,8.9736935,0.0
8.799355,8.9727173,0.0
8.8442496,8.9716954,0.0
8.8891443,8.9708368,0.0
8.934039,8.969734,0.0
8.9789336,8.9689237,0.0
9.0238283,8.9679954,0.0
9.068723,8.9669606,0.0
9.1136176,8.9660297,0.0
9.1585123,8.965155,0.0
9.203407,8.9642145,0.0
9.2483017,8.9634581,0.0
9.2931963,8.962461,0.0
9.338091,8.9613738,0.0
9.3829857,8.9607592,0.0
9.4278803,8.9597861,0.0
9.472775,8.9588306,0.0
9.5176697,8.9581605,0.0
9.5625643,8.9572835,0.0
9.607459,8.9563702,0.0
9.6523537,8.955522,0.0
9.6972483,8.9548424,0.0
9.742143,8.9540107,0.0
9.7870377,8.9530971,0.0
9.8319323,8.9523267,0.0
9.876827,8.9515584,0.0
9.9217217,8.9507883,0.0
9.9666163,8.9499099,0.0
10.011511,8.9492352,0.0
10.056406,8.948421,0.0
10.1013,8.9475917,0.0
10.146195,8.9468972,0.0
10.19109,8.946295,0.0
10.235984,8.9455673,0.0
10.280879,8.9449005,0.0
10.325774,8.9440983,0.0
10.370668,8.9434055,0.0
10.415563,8.9424964,0.0
10.460458,8.9418119,0.0
10.505352,8.9412519,0.0
10.550247,8.9405363,0.0
10.595142,8.9396773,0.0
10.640036,8.9392297,0.0
10.684931,8.9385357,0.0
10.729826,8.9378136,0.0
10.77472,8.9371774,0.0
10.819615,8.936617,0.0
10.86451,8.9358498,0.0
10.909404,8.9353521,0.0
10.954299,8.9346326,0.0
10.999194,8.9339737,0.0
11.044088,8.933211,0.0
11.088983,8.9327964,0.0
11.133878,8.9321822,0.0
11.178772,8.9315681,0.0
11.223667,8.930949,0.0
11.268562,8.930441,0.0
11.313456,8.9297767,0.0
11.358351,8.9292275,0.0
11.403246,8.9286189,0.0
11.44814,8.9280547,0.0
11.493035,8.9275238,0.0
