Time (s),Temperature (ºC),Power (W)
0.1387653,35.979055,5.0132131e-05
0.2775307,35.996286,5.0131504e-05
0.416296,36.00963,5.013111e-05
0.5550614,36.021901,5.0130603e-05
0.6938267,36.034046,5.0130306e-05
0.832592,36.045498,5.0129764e-05
0.9713574,36.056714,5.0129371e-05
1.1101227,36.067177,5.0128926e-05
1.248888,36.077942,5.0128458e-05
1.3876534,36.088043,5.0128116e-05
1.5264187,36.097957,5.0127842e-05
1.6651841,36.108207,5.0127523e-05
1.8039494,36.117688,5.0127044e-05
1.9427147,36.127681,5.0126662e-05
2.0814801,36.137585,5.0126291e-05
2.2202454,36.146664,5.0125955e-05
2.3590107,36.156327,5.0125738e-05
2.4977761,36.165667,5.012519e-05
2.6365414,36.174919,5.0124945e-05
2.7753068,36.184148,5.01247e-05
2.9140721,36.19302,5.012438e-05
3.0528374,36.202414,5.0124067e-05
3.1916028,36.210887,5.0123662e-05
3.3303681,36.219883,5.0123388e-05
3.4691334,36.22867,5.0123e-05
3.6078988,36.237198,5.0122641e-05
3.7466641,36.245519,5.0122133e-05
3.8854295,36.254426,5.0121991e-05
4.0241948,36.262775,5.0121865e-05
4.1629601,36.271113,5.0121574e-05
4.3017255,36.279606,5.0121295e-05
4.4404908,36.287619,5.012105e-05
4.5792562,36.29586,5.0120582e-05
4.7180215,36.303948,5.0120416e-05
4.8567868,36.311967,5.0119858e-05
4.9955522,36.319791,5.0119715e-05
5.1343175,36.327653,5.0119618e-05
5.2730828,36.335387,5.0119276e-05
5.4118482,36.343098,5.0118894e-05
5.5506135,36.350616,5.0118363e-05
5.6893789,36.358496,5.0118489e-05
5.8281442,36.366119,5.0118101e-05
5.9669095,36.37362,5.0117844e-05
6.1056749,36.381037,5.0117439e-05
6.2444402,36.388283,5.0117108e-05
6.3832056,36.395451,5.0116664e-05
6.5219709,36.402661,5.0116749e-05
6.6607362,36.410059,5.0116447e-05
6.7995016,36.417083,5.0116133e-05
6.9382669,36.423768,5.0115922e-05
7.0770322,36.430819,5.0115683e-05
7.2157976,36.437769,5.0115392e-05
7.3545629,36.444659,5.0115192e-05
7.4933283,36.45147,5.011485e-05
7.6320936,36.458392,5.0114759e-05
7.7708589,36.464735,5.0114468e-05
7.9096243,36.471573,5.0114302e-05
8.0483896,36.478122,5.0113954e-05
8.1871549,36.484961,5.0113789e-05
8.3259203,36.49081,5.0113521e-05
8.4646856,36.497368,5.0113378e-05
8.603451,36.503778,5.0113247e-05
8.7422163,36.509932,5.0112905e-05
8.8809816,36.515979,5.011266e-05
9.019747,36.522436,5.0112432e-05
9.1585123,36.528675,5.0112221e-05
9.2972777,36.534756,5.011185e-05
9.436043,36.540845,5.0111684e-05
9.5748083,36.546646,5.0111456e-05
9.7135737,36.55249,5.0111325e-05
9.852339,36.558259,5.011112e-05
9.9911043,36.564023,5.0110846e-05
10.12987,36.570008,5.0110658e-05
10.268635,36.575733,5.0110487e-05
10.4074,36.581127,5.0110036e-05
10.546166,36.586865,5.0109979e-05
10.684931,36.592619,5.0109899e-05
10.823696,36.598136,5.0109637e-05
10.962462,36.603585,5.0109397e-05
11.101227,36.60887,5.0109203e-05
11.239992,36.614216,5.0109078e-05
11.378758,36.61969,5.0108947e-05
11.517523,36.62479,5.010877e-05
11.656288,36.630224,5.0108251e-05
11.795054,36.635677,5.0108165e-05
11.933819,36.640524,5.0108125e-05
12.072584,36.645391,5.0108148e-05
12.21135,36.650655,5.010784e-05
12.350115,36.655625,5.0107561e-05
12.48888,36.66067,5.0107401e-05
12.627646,36.665541,5.010727e-05
12.766411,36.670518,5.0107122e-05
12.905176,36.675286,5.0106911e-05
13.043942,36.680198,5.0106677e-05
13.182707,36.684996,5.0106443e-05
13.321473,36.69003,5.0106323e-05
13.460238,36.6945,5.0106049e-05
13.599003,36.699114,5.0105992e-05
13.737769,36.703603,5.0105924e-05
13.876534,36.708505,5.0105433e-05
14.015299,36.712971,5.0105479e-05
14.154065,36.71786,5.010508e-05
14.29283,36.721649,5.0105314e-05
14.431595,36.726407,5.0104994e-05
14.570361,36.730268,5.0104863e-05
14.709126,36.735196,5.0104675e-05
14.847891,36.739252,5.0104504e-05
14.986657,36.743739,5.010447e-05
15.125422,36.74767,5.0104259e-05
15.264187,36.751936,5.010427e-05
15.402953,36.756457,5.010415e-05
15.541718,36.760517,5.0103905e-05
15.680483,36.764518,5.010374e-05
15.819249,36.768466,5.0103683e-05
15.958014,36.772849,5.0103437e-05
16.096779,36.776535,5.010338e-05
16.235545,36.78056,5.0103238e-05
16.37431,36.784416,5.0103027e-05
16.513075,36.788227,5.010285e-05
16.651841,36.79243,5.0102622e-05
16.790606,36.796109,5.010257e-05
16.929371,36.79995,5.0102268e-05
17.068137,36.803492,5.0101886e-05
17.206902,36.807655,5.0101812e-05
17.345667,36.810994,5.0101755e-05
17.484433,36.814936,5.0102006e-05
17.623198,36.818406,5.01018e-05
17.761963,36.822205,5.0101584e-05
17.900729,36.814717,0.0
18.039494,36.802316,0.0
18.178259,36.792522,0.0
18.317025,36.783488,0.0
18.45579,36.775748,0.0
18.594555,36.768054,0.0
18.733321,36.76089,0.0
18.872086,36.75355,0.0
19.010851,36.74687,0.0
19.149617,36.740076,0.0
19.288382,36.733661,0.0
19.427147,36.727149,0.0
19.565913,36.721097,0.0
19.704678,36.714628,0.0
19.843443,36.708368,0.0
19.982209,36.70232,0.0
20.120974,36.696148,0.0
20.259739,36.690473,0.0
20.398505,36.684353,0.0
20.53727,36.678376,0.0
20.676035,36.672393,0.0
20.814801,36.666752,0.0
20.953566,36.661031,0.0
21.092331,36.655243,0.0
21.231097,36.649943,0.0
21.369862,36.644055,0.0
21.508627,36.63847,0.0
21.647393,36.632943,0.0
21.786158,36.62761,0.0
21.924923,36.62218,0.0
22.063689,36.61693,0.0
22.202454,36.611534,0.0
22.341219,36.606287,0.0
22.479985,36.601177,0.0
22.61875,36.595823,0.0
22.757515,36.590597,0.0
22.896281,36.585935,0.0
23.035046,36.580638,0.0
23.173812,36.575478,0.0
23.312577,36.570368,0.0
23.451342,36.565427,0.0
23.590108,36.560889,0.0
23.728873,36.555574,0.0
23.867638,36.550835,0.0
24.006404,36.546635,0.0
24.145169,36.541483,0.0
24.283934,36.536685,0.0
24.4227,36.532024,0.0
24.561465,36.527357,0.0
24.70023,36.52276,0.0
24.838996,36.518472,0.0
24.977761,36.514006,0.0
25.116526,36.509566,0.0
25.255292,36.504882,0.0
25.394057,36.500336,0.0
25.532822,36.496543,0.0
25.671588,36.491723,0.0
25.810353,36.487228,0.0
25.949118,36.483158,0.0
26.087884,36.479002,0.0
26.226649,36.474659,0.0
26.365414,36.470634,0.0
26.50418,36.466415,0.0
26.642945,36.4623,0.0
26.78171,36.458159,0.0
26.920476,36.45414,0.0
27.059241,36.450118,0.0
27.198006,36.446382,0.0
27.336772,36.442456,0.0
27.475537,36.438523,0.0
27.614302,36.434567,0.0
27.753068,36.430621,0.0
27.891833,36.426969,0.0
28.030598,36.423136,0.0
28.169364,36.419529,0.0
28.308129,36.4155,0.0
28.446894,36.411975,0.0
28.58566,36.408495,0.0
28.724425,36.404828,0.0
28.86319,36.401148,0.0
29.001956,36.397754,0.0
29.140721,36.394266,0.0
29.279486,36.390359,0.0
29.418252,36.38682,0.0
29.557017,36.383441,0.0
29.695782,36.380014,0.0
29.834548,36.376706,0.0
29.973313,36.373415,0.0
30.112078,36.370347,0.0
30.250844,36.366887,0.0
30.389609,36.363553,0.0
30.528374,36.360427,0.0
30.66714,36.357191,0.0
30.805905,36.353806,0.0
30.94467,36.350599,0.0
31.083436,36.347533,0.0
31.222201,36.344316,0.0
31.360966,36.341189,0.0
31.499732,36.338163,0.0
31.638497,36.335165,0.0
31.777262,36.332171,0.0
31.916028,36.32933,0.0
32.054793,36.326229,0.0
32.193558,36.323257,0.0
32.332324,36.320486,0.0
32.471089,36.317183,0.0
32.609854,36.314239,0.0
32.74862,36.311611,0.0
32.887385,36.3088,0.0
33.026151,36.305654,0.0
33.164916,36.303289,0.0
33.303681,36.300603,0.0
33.442447,36.297855,0.0
33.581212,36.2951,0.0
33.719977,36.292422,0.0
33.858743,36.289758,0.0
33.997508,36.286991,0.0
34.136273,36.284452,0.0
34.275039,36.281807,0.0
34.413804,36.279165,0.0
34.552569,36.276837,0.0
34.691335,36.273985,0.0
34.8301,36.271344,0.0
34.968865,36.268852,0.0
35.107631,36.266697,0.0
35.246396,36.264185,0.0
35.385161,36.261627,0.0
35.523927,36.25916,0.0
