Time (s),Temperature (ºC),Power (W)
0.1918227,53.544226,0.00010254193
0.3836453,53.568572,0.00010254182
0.575468,53.589924,0.00010254149
0.7672907,53.608884,0.00010254075
0.9591134,53.626805,0.00010254063
1.150936,53.644664,0.00010254
1.3427587,53.661741,0.00010253963
1.5345814,53.678331,0.00010253931
1.7264041,53.69446,0.00010253877
1.9182267,53.710121,0.0001025385
2.1100494,53.726067,0.00010253809
2.3018721,53.741856,0.00010253759
2.4936948,53.75703,0.00010253738
2.6855174,53.772562,0.00010253707
2.8773401,53.787141,0.00010253668
3.0691628,53.80146,0.00010253623
3.2609854,53.816523,0.00010253594
3.4528081,53.831453,0.00010253553
3.6446308,53.845799,0.00010253511
3.8364535,53.860105,0.00010253485
4.0282761,53.874172,0.00010253459
4.2200988,53.888084,0.00010253424
4.4119215,53.902076,0.00010253393
4.6037442,53.915602,0.00010253365
4.7955668,53.929552,0.00010253321
4.9873895,53.94275,0.00010253292
5.1792122,53.956012,0.00010253269
5.3710348,53.969507,0.00010253236
5.5628575,53.98252,0.00010253208
5.7546802,53.995526,0.00010253142
5.9465029,54.008369,0.00010253137
6.1383255,54.021225,0.00010253083
6.3301482,54.034012,0.00010253076
6.5219709,54.04645,0.00010253038
6.7137936,54.058404,0.00010253
6.9056162,54.070631,0.00010252986
7.0974389,54.083417,0.0001025296
7.2892616,54.095553,0.00010252927
7.4810843,54.107639,0.00010252898
7.6729069,54.119643,0.00010252884
7.8647296,54.131404,0.00010252832
8.0565523,54.142478,0.00010252805
8.248375,54.154046,0.00010252782
8.4401976,54.166067,0.00010252756
8.6320203,54.177207,0.00010252737
8.823843,54.188276,0.00010252722
9.0156656,54.199424,0.00010252665
9.2074883,54.210609,0.00010252629
9.399311,54.221226,0.00010252605
9.5911337,54.232728,0.00010252589
9.7829563,54.24344,0.0001025258
9.974779,54.25396,0.00010252555
10.166602,54.26404,0.00010252523
10.358424,54.274857,0.00010252505
10.550247,54.285408,0.00010252476
10.74207,54.295383,0.00010252456
10.933892,54.306183,0.0001025243
11.125715,54.316131,0.00010252395
11.317538,54.325482,0.00010252371
11.50936,54.335962,0.00010252366
11.701183,54.346027,0.00010252326
11.893006,54.35596,0.00010252312
12.084828,54.365626,0.00010252265
12.276651,54.374842,0.00010252262
12.468474,54.384534,0.00010252231
12.660296,54.393466,0.00010252212
12.852119,54.403197,0.00010252181
13.043942,54.412647,0.00010252178
13.235765,54.421769,0.00010252159
13.427587,54.431069,0.00010252139
13.61941,54.439864,0.00010252118
13.811233,54.449129,0.00010252092
14.003055,54.457218,0.00010252064
14.194878,54.46682,0.00010252052
14.386701,54.475089,0.00010252024
14.578523,54.483687,0.00010252018
14.770346,54.491974,0.00010252008
14.962169,54.500772,0.00010251997
15.153991,54.509132,0.0001025197
15.345814,54.517494,0.00010251942
15.537637,54.525865,0.00010251921
